Project,Year,Domain
Blogs & Forum,2008,Computer Science
Complaint Registration & Monitoring System ,2008,Computer Science
Intregrated Education & Learning Management  System Manage Admin  ( Using Linux & Proxy  Server),2008,Computer Science
Medical Transcription System,2008,Computer Science
System Shield Security,2008,Computer Science
Eeg Automated Detection Of Epilepsy Using Neural Networks,2008,Computer Science
Superpages For Linux,2008,Computer Science
Help Disk System ,2008,Computer Science
Email Trust Authority,2008,Computer Science
Marathi Number Plate Recognization & Conversion Script To Speech,2008,Computer Science
Hybrid Tunnable I/O Shedular Using Genetic Algorithm,2008,Computer Science
Power Messanger,2008,Computer Science
Next Generation Stego E-Banking,2008,Computer Science
Completely Automated Public Turing Test to Tell Computers and Humans Apart (CAPTCHA),2008,Computer Science
LIVE Tracking Using GSM Technology,2008,Computer Science
IP Tunneling,2008,Computer Science
Artificial Intellegence Based Data Retrieval System,2008,Computer Science
Hybrid Tunable I/O Scheduler using Genetic Algorithm,2008,Computer Science
Remotley Controlling 3rd Party Softwares,2008,Computer Science
Image Viewer,2008,Computer Science
PCCOE MART,2008,Computer Science
Thumb Based Auto Attendance System,2008,Computer Science
Mobisuite,2008,Computer Science
Motion Detection Security System,2008,Computer Science
Money Market,2008,Computer Science
Anti Money Laundering Software,2008,Computer Science
Crop Plantation Decision support system,2008,Computer Science
E-mail client,2008,Computer Science
Knowledge based automated text summarization using Graph theory,2008,Computer Science
Criminal record tracking system,2008,Computer Science
Framework for data conversion,2008,Computer Science
Multiplayer online gaming system,2008,Computer Science
Bulletproof server,2008,Computer Science
Intelligent finger print recognition system,2008,Computer Science
Intelligent Iris recognition system,2008,Computer Science
GPS based railway tracking system,2008,Computer Science
Intrusion detection system,2008,Computer Science
Click-N-Talk a VOIP approach,2008,Computer Science
Recognition of Handwritten characteristics of Gujrati,2008,Computer Science
Detection and removal of promiscuous modes in network,2008,Computer Science
A WAP based remote server,2008,Computer Science
Centralized compiler,2008,Computer Science
SIP - Surveillance using Image Processing,2008,Computer Science
Molecule The Virtual JOS (Java Operating System),2008,Computer Science
Development of the Plug-ins of Eclipse,2008,Computer Science
BIOVOTE,2008,Computer Science
Next generation E-Banking with Flash code service,2008,Computer Science
Color Image Segmentation,2008,Computer Science
Auto Directory Submitter,2008,Computer Science
Implementation of dynamic packet routing ,2008,Computer Science
Mail utility,2008,Computer Science
HYDRA (Massively Parallel-processing Desktop Computer),2008,Computer Science
Heterogeneous Implicit Services,2008,Computer Science
Intelligent Search Engine,2008,Computer Science
WIPRO IMG Desk,2008,Computer Science
Analog data visualization based on mobile communication,2008,Computer Science
MAGIC(Multi-tArget Graphical User Interface Compiler),2008,Computer Science
XtremePC ,2008,Computer Science
Bitmap Indexing-based Clustering and Retrival of XML Documents,2008,Computer Science
One stop RF Toll collection,2008,Computer Science
Next generation shell,2008,Computer Science
Wireless Surveillance System,2008,Computer Science
Accounting Software Like Tally Using AJAX/Struts Framework,2008,Computer Science
Enhancing UNH & ISCSI capability,2008,Computer Science
Performance Analysis & Apprisal System,2008,Computer Science
QPP Parser Implementation Using ANTLR In JAVA,2008,Computer Science
Automated Pattern Recognision Using Texturual Paramenters,2008,Computer Science
Resource Loking System,2008,Computer Science
System Handling Using Bluetooth,2008,Computer Science
Development Of An API For Using SMS As Transport Layer,2008,Computer Science
Scalable Vector Graphics,2008,Computer Science
Stock Ticker Data Analyzer,2008,Computer Science
Online Voting System Using Samrt Card,2008,Computer Science
Static Memory Leaks Detector For C ,2008,Computer Science
GUI Generation For C,2008,Computer Science
Simulation &  Prediction Of Stroms Using Satelite Data,2008,Computer Science
Remote Hetrogenious Data Migration ,2008,Computer Science
Application Performance Evalution By Implementing CIMC / MDB,2008,Computer Science
Bluetooth Banking Based Client Server Application In JAVA ,2008,Computer Science
Object Reletaed Framework,2008,Computer Science
Implementation of Cursor Movement & Cursor Functions Using Image Capturing Tool Like WEB Cam.,2008,Computer Science
USB Driver For MINIX - 3,2008,Computer Science
ISCSCI Target Implementation,2008,Computer Science
Conversion of  DB SQL Script Into XML & C++ Object Using CFG,2008,Computer Science
To Design An Integrated Security Solution,2008,Computer Science
Mobile Wonders,2008,Computer Science
USB LINUX,2008,Computer Science
Application Builder For CSA (Common Services Architecture),2008,Computer Science
Browser Enabled Data Masking Tool,2008,Computer Science
Model to Text Transformation,2008,Computer Science
Deadlock Scenario Visualisation,2008,Computer Science
Converting Website To Access Via Cellular Phone Using Java & Kannl gateway,2008,Computer Science
Layer To Network Control Service,2008,Computer Science
Video Streaming Using Cell Phone With Security ,2008,Computer Science
Mobile Tracking,2008,Computer Science
IDE For Linux Based C System,2008,Computer Science
COGITO,2008,Computer Science
Asset Managemnet System,2008,Computer Science
Network ON - GO,2008,Computer Science
Estudy Channel,2008,Computer Science
Project Management & Review,2008,Computer Science
Bluetooth Mobile Transaction,2008,Computer Science
Gui Editor For C,2008,Computer Science
Intranet Mail Server,2008,Computer Science
Virtual Laboratory,2008,Computer Science
Distance Locator,2008,Computer Science
Data Hiding In Clor Image With Mobile Application,2008,Computer Science
Manage Admin (Linux Server Management Gui Way),2008,Computer Science
Sms Communicator,2008,Computer Science
Performance Monitor With Remote Desktop,2008,Computer Science
Secure Multi-Mail Server For Voice & Data,2008,Computer Science
Site Tracker 2.0,2008,Computer Science
Network Intrusion Detection  & Prevention  System,2008,Computer Science
Network Administration Through Mobile,2008,Computer Science
Bluetooth Banking,2008,Computer Science
Blue Way,2008,Computer Science
Mobi-Fire-08,2008,Computer Science
Digital Water Marking ,2008,Computer Science
Web Controlled Fire Fighting  Robot,2008,Computer Science
Bluetooth Messaging,2008,Computer Science
Detection and Prevention of DDoS attacks ,2008,Computer Science
Multilingual Internet Access,2008,Computer Science
Instant Data Access,2008,Computer Science
Linux Embedded Appliance Firewall - SNMP,2008,Computer Science
Mail Junction,2008,Computer Science
Multimedia File System,2008,Computer Science
JVM Migration System,2008,Computer Science
Automatic tagging using text mining,2008,Computer Science
Matching courtesy and legal amount in cheque using Neural N/W.,2008,Computer Science
NextG Mail Client,2008,Computer Science
Enterprise Management Tool,2008,Computer Science
Steganography for text and image,2008,Computer Science
GPU Driver tools,2008,Computer Science
Filtering Image spam with near Duplicate Detection,2008,Computer Science
Enterprise Modeler,2008,Computer Science
BPML to UML Migrator,2008,Computer Science
Quality Estimator,2008,Computer Science
Remote Surveillance via Mobile,2008,Computer Science
WAuG- Water Analysis Using GPS Technology,2008,Computer Science
Real time Heuristic Tracking and Decision Making system to facilitate Agriculture (RHTDM),2008,Computer Science
Audio Streaming over Bluetooth,2008,Computer Science
Utility tools for NVIDIA display device driver,2008,Computer Science
Gensnapper,2008,Computer Science
Photo Blogging,2008,Computer Science
Roaming Lightweight Identity Wallet,2008,Computer Science
ZEUS - 3D Face Modeler,2008,Computer Science
Requirement Gathering and Translation for eQube,2008,Computer Science
Improving Security of E-commerce system using Steganography on mobile phone,2008,Computer Science
Static Analyzer for Java Programs,2008,Computer Science
Scenario base regression testing ,2008,Computer Science
Desktop sharing using .Net,2008,Computer Science
Web Log Analyzer,2008,Computer Science
Remote Monitoring of LAN Through Mobile Device,2008,Computer Science
Academic Cove,2008,Computer Science
Remote Query Addresser ,2008,Computer Science
Core Security Tool KIT,2008,Computer Science
Mobile based Advertisement Architecture,2008,Computer Science
Spying Traffic Rules Violation ,2008,Computer Science
Mobile based security system,2008,Computer Science
Parallelex ,2008,Computer Science
Virtual Shell,2008,Computer Science
Railway announcement system,2008,Computer Science
IP Telephony with kadmlia,2008,Computer Science
Quick RPM Designer (Linux),2008,Computer Science
A VOIP Based Network ISP using,2008,Computer Science
open source Kits and Standards,2008,Computer Science
Remote OPD,2008,Computer Science
Global Signing ,2008,Computer Science
Distributed CAD Architecture,2008,Computer Science
Mail Reader System,2008,Computer Science
ATM using 1-wire Technology based i-button,2008,Computer Science
Next Generation file System(NGFS),2008,Computer Science
e-Docs,2008,Computer Science
Interactive IPTV  Simulation in Linux with Indian EPG,2008,Computer Science
Grid Computing,2008,Computer Science
College LAN – Modeling & performance optimization and reconfiguration with Neural Networks and NS2 Network tool.,2008,Computer Science
WAP Enabled Mobile Banking,2008,Computer Science
Printing & Wired LAN Browsing using Blue Tooth Device,2008,Computer Science
Page Template Generator (Presentation and publishing port of content factory),2008,Computer Science
To develop an application which convert J# codes to C#,2008,Computer Science
Live Internet Media streaming with over layer Interactive Ads and chat client,2008,Computer Science
Implementation of Voice over IP(VOIP) on College Intranet,2008,Computer Science
Enabling super pages in Linux,2008,Computer Science
Design and Implementation of an Optimized algorithm for collaborative Filtering Recommendation System,2008,Computer Science
To develop  a website based on the concept of Social Networking,2008,Computer Science
Load Balancing in Distributed Systems,2008,Computer Science
WAN optimization using NFS caching,2008,Computer Science
Distributed Image Retrieval System,2008,Computer Science
Internationalized Domain name in application,2008,Computer Science
Decision Support System for Customer Relationship Management,2008,Computer Science
GPS Base Railway System,2008,Computer Science
Netflow Version 9 Collector Application,2008,Computer Science
GUI Generation for C,2008,Computer Science
Cricket Website,2008,Computer Science
SMART Monitoring system,2008,Computer Science
Web based Search Engine using Mobile Gateway,2008,Computer Science
Java LAN Organizer,2008,Computer Science
Smart Media Player and IRadio,2008,Computer Science
Anti-Theft Application for Nokia Mobile Phone,2008,Computer Science
Remote Weighing System,2008,Computer Science
Network Monitoring using SNMP,2008,Computer Science
MAGIC: Multi Target Graphical User Interface,2008,Computer Science
Fertigation Through Internet,2008,Computer Science
Human Resource Development,2008,Computer Science
XML Migration ,2008,Computer Science
Bi-Directional Data Interpreter,2008,Computer Science
Rich User Experience,2008,Computer Science
Remote Administration Via Bluetooth,2008,Computer Science
Tools Management System,2008,Computer Science
FAISAN,2008,Computer Science
Console Based LAN  Backup System,2008,Computer Science
XML  Editor,2008,Computer Science
Real Time Robotic Camera Controller,2008,Computer Science
Academic Cove,2008,Computer Science
Customer Relationship Management,2008,Computer Science
Text Manipulator,2008,Computer Science
Lost Mobile Tracking System,2008,Computer Science
Mobile Console For Digital Homes,2008,Computer Science
Save And Handy Password Manager,2008,Computer Science
Scatter net Over IP,2008,Computer Science
Proposed Online Construction monitoring system,2008,Computer Science
Snow MP3,2008,Computer Science
Auction Engine,2008,Computer Science
Failover Solution For Proxy Server-Clustering Proxy Server,2008,Computer Science
Really Simple Syndication Feed Reader,2008,Computer Science
Secure Data Transmission Using VPN and Firewall Implementation,2008,Computer Science
Remote LAN administration using SMS,2008,Computer Science
Detection and removal of rouge access point from unauthorized  machine and from wireless network,2008,Computer Science
Multiplex Marketing System,2008,Computer Science
Real Time Streaming,2008,Computer Science
Captcha,2008,Computer Science
Wireless Mobile Application Using Blutooth,2008,Computer Science
No Stop- Automatic Toll Collection,2008,Computer Science
Web Portal For Eterprise,2008,Computer Science
Drawdowm Project Tracker,2008,Computer Science
Defect Management System,2008,Computer Science
Hardware Control Through Internet,2008,Computer Science
Web-Based Guide For Everyone & Everywhere,2008,Computer Science
Speech Enable Web Application,2008,Computer Science
Distributed Backup System,2008,Computer Science
Mobi-Feed Aggeregator,2008,Computer Science
Interactive Voice Response System,2008,Computer Science
Wireless Network Management System,2008,Computer Science
Ginie,2008,Computer Science
Intelligent Inbox Manager(I.I.M.),2008,Computer Science
Intelligent Video-based Advertising,2008,Computer Science
Retina Image Alignment,2008,Computer Science
Content Authorization Workflow,2008,Computer Science
Inter Office Communication System [Private Messenger],2008,Computer Science
Configuration Manager to configure remotely (Agentless),2008,Computer Science
Heterogeneous Data Migrator,2008,Computer Science
Market Point,2008,Computer Science
Web Services for Human Resource Information System,2008,Computer Science
Open File Data Migration,2008,Computer Science
Multi-gaming via mobile phones,2008,Computer Science
Asset Management System (AMS) Using WMI Technology,2008,Computer Science
WaterMark RD A Database Watermark System,2008,Computer Science
"NilOS, the Multimedia Operating System",2008,Computer Science
Prizm 4.0,2008,Computer Science
Hostile Environment Information Security,2008,Computer Science
Language Translator,2008,Computer Science
Heterogeneous Distributed System Fail-Silent Node (Failover Solution),2008,Computer Science
Voice Support for Pidgin Users (GTALK) in Linux,2008,Computer Science
Thumb Based Auto Attendance System,2008,Database
Motion Detection Security System,2008,Database
Online Home appliances Control,2008,Database
Mobile banking and shopping,2008,Database
Audio Sreganography,2008,Image Processing
Smartcard & Biometrics in Personal Identification Systems,2008,Image Processing
C.B.I.R. system based on texture and shape,2008,Image Processing
Face Recognition using extended fisherface with 3D morphable  model ,2008,Image Processing
Hand Gesture Recognition System,2008,Image Processing
Path Tracking & Target object detection Robot,2008,Image Processing
Real Time motion Detection,2008,Image Processing
Iris  Authentication System,2008,Image Processing
Medical Image Processing and Analysis,2008,Image Processing
Virtual Keyboard,2008,Image Processing
Completely Automated Public Turing Test to Tell Computers and Humans Apart (CAPTCHA),2008,J2EE
Computerized resource Management,2008,J2EE
ERP system for college(Department mgmt),2008,J2EE
Automated Application Creator,2008,J2EE
ERP system for College(Office Mgmt),2008,J2EE
Remote stock value tracking system,2008,J2ME Mobile Based Projects
IP Tunneling,2008,Java
Remotley Controlling 3rd Party Softwares,2008,Java
Image Viewer,2008,Java
Investment Tracker,2008,Java
Network services & utilities,2008,Java
Xml server,2008,Java
SNIFFSEC,2008,Java
Video streaming using cell phone,2008,Java
Scalable Vector Graphics Editor,2008,Java
Remotely Hardware Process Control using Internet,2008,Java
C.A.P.T.C. H.A.,2008,Java
Automatic Native code wrapper for Java,2008,Java
Handwritten Character recognition system,2008,Java
Project Management System,2008,Java
Remote O.S. Installation,2008,Java
LIVE Tracking Using GSM Technology,2008,JDK ORACLE
DBExpress,2008,JDK ORACLE
Video Compression Technique,2008,JDK ORACLE
Bi Directional Data Interpreter,2008,JDK ORACLE
PCCOE MART,2008,"JSP,Mail API,Jdk1.6,win server03"
Hybrid Tunable I/O Scheduler using Genetic Algorithm,2008,Linux
Squid proxy server,2008,Linux
Dynamic Power Saving,2008,Linux
3D Web Browser,2008,"Netbeans 5.5,processing s/w"
Acoustic Networking,2008,Networking
Intrusion Detection System  ,2008,Networking
Decentralized Backup System,2008,Networking
Dynamic bandwidth manager,2008,Networking
Detection & prevention of Hidden IP Address,2008,Networking
Grid Computing,2008,Parallel and Distributed Systems
 Dynamic website and Absolute Search Engine ,2008,Web Based
Web Controlled Robot,2008,Web Based
Advanced Network Banking,2008,Networking
Online Examination System (OES),2009,.net
ERP system for college(Departmental mgmt),2009,.net
Xml server,2009,.net
3D Web Browser,2009,.net
Anti-phi-sing,2009,.net
Mouse movement with eyeball or hand movement,2009,.net
dbExpress (Data Extractor Loader-Migrator),2009,.net
Location finder,2009,.net
Steganography,2009,.net
Remote control admin,2009,.net
Remote installation of softwares,2009,.net
Net find signal generator,2009,.net
Stock Market Analysis for Real Time Trends,2009,.net
Speech Firewall System,2009,.net
Asset Management for Computer Hardware and Software,2009,.net
Network Security: TCP/IP Steganography,2009,.net
College Management Portal System,2009,.net
Solar Tracking and Controlling System,2009,.net
SMART Monitoring system,2009,.net
Web based Search Engine using Mobile Gateway,2009,.net
Remote Weighing System,2009,.net
Fertigation Through Internet,2009,.net
Human Resource Development,2009,.net
XML Migration,2009,.net
Interactive SMS based information Access system,2009,.net
Online Examination System (OES),2009,.net
Online Project Management,2009,.net
SpyCop,2009,.net
Web based ERP System,2009,.net
Online Healthcare System,2009,.net
Human Resource Mnagement System,2009,.net
ACD (Automatic Call Distribution) Solution for IM (Instant Messenger),2009,.net
 Outlook 2007 plug in for sharing and synchronizing outlook items,2009,.net
Google Onebox Provider for Lotus Email Application and Graphical  Editor for dynamic XSL generation,2009,.net
Bill of Materials,2009,.net
Website for Job Hunt,2009,.net
Smartdoc,2009,.net
Vehicle Tracking System,2009,.net
School Management System,2009,.net
 Sms Utility,2009,.net
Facility Management System,2009,.net
Online Provident Fund Accsess System,2009,.net
Multi level car parking system,2009,AI
Personal Health Manager for Win- Mobile Application,2009,Android Projects
Mobile Payment Enabler,2009,Android Projects
Service Provising for SSO ,2009,Android Projects
Framework for Parallelizing Query Processing and Report Generation Using Hadoop,2009,Android Projects
Application Form Reader,2009,Android Projects
Flash Book (A Document Viewer),2009,Android Projects
Voice Enabled E-Music Store,2009,Android Projects
Insurance Data Dashboards For Blackberry Platforms,2009,Blackberry
Unifs Benchmark File System,2009,C#
Anti-Theft Application for Nokia Mobile Phone,2009,C++
Chat-Com,2009,Communications
Payment Through Mobiles,2009,Communications
Online Compiler,2009,"Compilers, Java, Oracle 9.0"
Clip Management,2009,Computer Science
BOTNETS,2009,Computer Science
Web based software for project management and timesheet management,2009,Computer Science
Radio station automation system,2009,Computer Science
Semantic Blog cataloger,2009,Computer Science
Quality control on data from automatic weather system,2009,Computer Science
Handwriting recognition system,2009,Computer Science
Speed age courier system,2009,Computer Science
GPRS based instant messenger for mobile phones,2009,Computer Science
Building search infrastructure,2009,Computer Science
Report builder application,2009,Computer Science
Dashboard designer for the Pentaho BI platform,2009,Computer Science
Online commercial booking for TV channels,2009,Computer Science
Web baed generic report generator,2009,Computer Science
Voice plug-in Microsoft internet explorer,2009,Computer Science
Mobile application using stress signal to locate the individual position,2009,Computer Science
Personalized movie recommendation engine,2009,Computer Science
Message positioning system,2009,Computer Science
Test Case Management,2009,Computer Science
GPRS Based Messenger for Mobile Devices,2009,Computer Science
Intelligent Subsace Clustering,2009,Data Mining
Software Tracking System,2009,Data Mining
Light weight Linux virtual server,2009,Database
Automated Recruitment System,2009,Database
Integrated IT  infrastructure system,2009,Database
ER schema to SQL converter,2009,Database
Small SQL,2009,Database
NLDBI,2009,Database
Test Engine,2009,Database
Design and Development of Test Harnes for Database Testing,2009,Database
A System for data quality checking and counter ploting for IMD,2009,Database
Single National ID,2009,Database
Dynamic Database in Web Application,2009,Distibuted System
Online Examination System,2009,"EJB, DERBY, JSF"
Sales Promotion Zone,2009,"EJB, DERBY, JSF"
Supply Chain Management,2009,Database
Generation of an IDE plug-in to provide GUI for optimizing the usage of XML,2009,GUI
Biometric Cryptography,2009,Image Processing
Virtual Mouse using Gesture Recognition,2009,Image Processing
Epilepsy detection using neural networks,2009,Image Processing
Lane  depature system,2009,Image Processing
Computer Based System to Detect Sleep of a Driver,2009,Image Processing
License Plate Recognition System,2009,Image Processing
Generic Hardware Control Using Gesture,2009,Image Processing
Iris Recognition,2009,Image Processing
Finance management in MIS,2009,Information Retrieval
Remote Monioing System,2009,Intranet Based
Rapid Interactive System,2009,J2EE
Network services & utilities,2009,J2EE
Bi Directional Data Interpreter,2009,J2EE
SNIFFER SECURITY,2009,J2EE
Web based file version control system,2009,J2EE
Appraisal System Framework,2009,J2EE
Enterprise Portal System,2009,J2EE
Electronic Investment Guide,2009,J2EE
Java-based Home Automation,2009,J2EE
Computerized resource Management,2009,J2EE
ERP system for college(Departmental mgmt),2009,J2EE
Automated Application Creator,2009,J2EE
ERP system for College(Official Mgmt),2009,J2EE
Glocalz.com (Vertical Search Engine,2009,J2EE
Bluetooth Banking System,2009,J2EE
Peer To Peer Backup System,2009,J2EE
Municipal Corporation Office Information Integration,2009,J2EE
Online Project Management,2009,J2ME Mobile Based Projects
Remote stock value tracker using mobile phones,2009,J2ME Mobile Based Projects
Movie Guide And Ticket Reservation System,2009,J2ME Mobile Based Projects
MOBILE BASED LAN MONITORING AND CONTROL,2009,J2ME Mobile Based Projects
Investment Tracker System,2009,Java
Computerized resource Management,2009,Java
Remote stock value tracker using mobile phones,2009,Java
Automated Application Creator,2009,Java
Struts Generator,2009,Java
MiddleBox Security system,2009,Java
Graphical query designer,2009,Java
Myscript Compiler,2009,Java
Centralized High Speed Image Processing,2009,Java
Replay Debugging Tool,2009,Java
Clone Clustering Proxy Server,2009,Java
Java LAN Organizer,2009,Java
Decision Support System for Customer Relationship Management,2009,Java
GPS Base Railway System,2009,Java
GUI Generation for C,2009,Java
Java LAN Organizer,2009,Java
Smart Media Player and IRadio,2009,Java
MAGIC: Multi Target Graphical User Interface,2009,Java
Virtual Classroom,2009,Java
Investment Tracker System,2009,Java
Network services & utilities,2009,Java
Xml server,2009,Java
SNIFFER SECURITY,2009,Java
Code Reviewer for Lotus Script,2009,Java
Web Service Wrapper,2009,Java
Retail Banking Applicaton using AJAX & GWT,2009,Java
Smart Share Solution,2009,Java
Micro Finance on Mobile,2009,Java
Auto-Summarization Tool,2009,Java
Middle Box Security System,2009,Java
Java Library Using RBAC,2009,Java
SpyCop,2009,JDK ORACLE
Web based ERP System,2009,JDK ORACLE
Video Compression Technique,2009,JDK ORACLE
Packet Transfer path Simulation,2009,JDK ORACLE
Advance authorized Lan access control,2009,JDK ORACLE
Digital Watermarking,2009,JDK ORACLE
DBExpress - A Data Migration Tool,2009,JDK ORACLE
Video Compression Technique,2009,JDK ORACLE
Bi Directional Data Interpreter,2009,JDK ORACLE
"E-learning, ",2009,"JSP,Mail API,Jdk1.6,win server03"
"E-learning, Rapid Interactive System",2009,"JSP,Mail API,Jdk1.6,win server03"
SRS Builder and Verifier,2009,"JSP,Mail API,Jdk1.6,win server03"
Pro Forum Zone,2009,"JSP,Mail API,Jdk1.6,win server03"
"Model 'val - Assignment Evaluation, Grading and Guiding Tool",2009,Learning Technologies
Lx. Admin,2009,Linux
Web based source code management,2009,Linux
Cluster Based Parallel Processing,2009,Linux
Linux Multipathing,2009,Linux
Linux Personal Firewall,2009,Linux
Linux Light Weight Server Virtualization,2009,Linux
SCADA,2009,Microcontroller/microprocessor
E-Learning Management System,2009,Learning Technologies
DBExpress – A Data Migration Tool,2009,"Netbeans 5.5,processing s/w"
ERP system for College(Official Mgmt),2009,"Netbeans 5.5,processing s/w"
Asset Co-related Risk Assessment,2009,Networking
Netflow Version 9 Collector Application,2009,Networking
Network Monitoring using SNMP,2009,Networking
Decentralized backup system,2009,Networking
WBEM Netmonitor,2009,Networking
API's for SIP based Soft-Phone,2009,Networking
Mesh Performasnce analysis using automated testing in XO Laptops,2009,Networking
Stegnography System,2009,Networking
